Date,Time,RSSI(dB),Volt(V),Amps(A),RPM(rpm),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-05-01,09:00:27.170,95,25.00,0.2,0,0,3,-1024,-2,734,-1024,1024,0,0,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.1
2020-05-01,09:00:27.280,99,25.00,0.3,0,0,3,-1024,-2,734,-1024,1024,0,0,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.1
2020-05-01,09:00:27.400,99,25.00,0.3,0,0,4,-1024,-2,734,-1024,1024,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.1
2020-05-01,09:00:27.510,99,25.00,0.3,0,0,3,-1024,-2,734,-1024,1024,0,0,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.1
2020-05-01,09:00:27.620,100,25.00,0.1,122,0,3,-1024,-2,734,-1024,1024,0,0,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.1
2020-05-01,09:00:27.740,100,25.00,0.0,107,0,4,-1024,-2,734,-1024,1024,0,0,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.1
2020-05-01,09:00:27.850,100,25.00,0.0,107,0,3,-1024,-2,734,-1024,1024,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.1
2020-05-01,09:00:27.970,100,25.00,0.6,122,0,4,-1024,-2,734,-1024,1024,0,0,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.1
2020-05-01,09:00:28.080,98,24.90,1.5,122,0,4,-1024,-2,734,-1024,1024,0,0,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.1
2020-05-01,09:00:28.200,98,25.00,1.5,122,0,4,-1024,-2,734,-1024,1024,0,0,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.1
2020-05-01,09:00:28.310,98,25.00,1.0,19,0,4,-1024,-2,734,-1024,1024,0,0,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.1
2020-05-01,09:00:28.430,98,25.00,0.8,131,1,4,-1024,-2,734,-1024,1024,0,0,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.1
2020-05-01,09:00:28.540,97,25.00,0.8,131,0,4,-1024,-2,734,-1024,1024,0,0,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.1
2020-05-01,09:00:28.660,97,25.00,0.6,160,0,4,-1024,-2,734,-1024,1024,0,0,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.1
2020-05-01,09:00:28.770,97,25.00,0.6,174,0,4,-1024,-2,734,-1024,1024,0,0,0,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.1
2020-05-01,09:00:28.890,97,25.00,0.6,174,1,4,-1024,-2,734,-1024,1024,0,0,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.1
2020-05-01,09:00:29.000,92,25.00,0.5,208,0,4,-1024,-2,734,-1024,1024,0,0,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.1
